LINEID,ROUTEID,STOPPOINTID,PROGRNUMBER
104,104_15,4473,19
104,104_16,1221,19
104,104_15,250,20
104,104_16,674,20
104,104_16,4389,21
104,104_15,251,21
104,104_15,4597,22
104,104_16,4390,22
104,104_15,255,23
104,104_16,530,23
104,104_15,218,24
104,104_16,4785,24
104,104_15,219,25
104,104_16,1764,25
104,104_16,1765,26
104,104_15,220,26
104,104_15,221,27
104,104_16,1766,27
104,104_15,222,28
104,104_16,1767,28
104,104_15,223,29
104,104_16,7129,29
104,104_15,224,30
104,104_16,1744,30
104,104_16,1745,31
104,104_15,225,31
104,104_15,226,32
104,104_16,1746,32
104,104_15,114,33
104,104_16,1747,33
104,104_15,1645,34
104,104_16,1748,34
104,104_15,1646,35
104,104_16,1749,35
104,104_15,7571,36
11,11_42,449,1
11,11_40,6122,1
11,11_41,6122,1
11,11_43,449,1
11,11_42,450,2
11,11_40,35,2
11,11_41,35,2
11,11_43,450,2
11,11_42,3181,3
11,11_40,36,3
11,11_41,36,3
11,11_43,3181,3
11,11_40,37,4
11,11_42,451,4
11,11_41,37,4
11,11_43,451,4
11,11_42,447,5
11,11_40,38,5
11,11_41,38,5
11,11_43,447,5
11,11_42,5045,6
11,11_40,39,6
11,11_41,39,6
11,11_43,5045,6
11,11_42,4460,7
11,11_40,40,7
11,11_41,40,7
11,11_43,4460,7
11,11_42,453,8
11,11_40,41,8
11,11_41,41,8
11,11_43,453,8
11,11_40,42,9
11,11_42,454,9
11,11_41,42,9
11,11_43,454,9
11,11_42,4475,10
11,11_40,43,10
11,11_41,43,10
11,11_43,4475,10
11,11_42,3023,11
11,11_40,44,11
11,11_41,44,11
11,11_43,3023,11
11,11_42,3024,12
11,11_40,7603,12
11,11_41,7603,12
11,11_43,3024,12
11,11_42,3025,13
11,11_40,45,13
11,11_41,45,13
11,11_43,3025,13
11,11_42,3026,14
11,11_40,46,14
11,11_41,46,14
11,11_43,3026,14
11,11_42,3027,15
11,11_40,47,15
11,11_41,47,15
11,11_43,3027,15
11,11_42,3028,16
11,11_40,48,16
11,11_41,48,16
11,11_43,3028,16
11,11_42,3029,17
11,11_40,49,17
11,11_41,49,17
11,11_43,3029,17
11,11_42,3030,18
11,11_40,51,18
11,11_43,3030,18
11,11_41,51,18
11,11_42,3031,19
11,11_40,52,19
11,11_41,52,19
11,11_43,3031,19
11,11_42,875,20
11,11_40,261,20
11,11_41,261,20
11,11_43,875,20
11,11_42,876,21
11,11_40,271,21
11,11_41,271,21
11,11_43,876,21
11,11_42,878,22
11,11_40,404,22
11,11_43,878,22
11,11_40,747,23
11,11_42,879,23
11,11_43,879,23
11,11_42,880,24
11,11_40,842,24
11,11_43,880,24
11,11_42,881,25
11,11_40,845,25
11,11_43,881,25
11,11_42,882,26
11,11_40,846,26
11,11_43,882,26
11,11_42,883,27
11,11_40,847,27
11,11_43,883,27
11,11_40,848,28
11,11_42,884,28
11,11_43,884,28
11,11_42,885,29
11,11_40,849,29
11,11_43,885,29
11,11_42,886,30
11,11_40,850,30
11,11_43,886,30
11,11_42,887,31
11,11_40,851,31
11,11_43,887,31
11,11_42,903,32
11,11_40,852,32
11,11_43,903,32
11,11_40,853,33
11,11_42,904,33
11,11_43,904,33
11,11_42,906,34
11,11_40,854,34
11,11_43,906,34
11,11_42,907,35
11,11_40,855,35
11,11_43,907,35
11,11_42,908,36
11,11_40,856,36
11,11_43,908,36
11,11_42,909,37
11,11_40,857,37
11,11_43,909,37
11,11_42,786,38
11,11_40,858,38
11,11_43,786,38
11,11_42,793,39
11,11_40,859,39
11,11_43,793,39
11,11_42,7576,40
11,11_40,860,40
11,11_43,7576,40
11,11_40,861,41
11,11_40,862,42
11,11_42,320,42
11,11_43,320,42
11,11_42,278,43
11,11_40,3014,43
11,11_43,278,43
11,11_40,3015,44
11,11_42,7615,44
11,11_43,7615,44
11,11_42,10,45
11,11_40,3016,45
11,11_42,12,46
11,11_40,3017,46
11,11_42,14,47
11,11_40,3018,47
11,11_42,15,48
11,11_40,3019,48
11,11_42,17,49
11,11_40,3020,49
11,11_42,18,50
11,11_40,3021,50
11,11_42,19,51
11,11_40,3022,51
11,11_42,21,52
11,11_40,441,52
11,11_42,7602,53
11,11_40,442,53
11,11_42,22,54
11,11_40,443,54
11,11_42,23,55
11,11_40,444,55
11,11_42,24,56
11,11_40,445,56
11,11_42,25,57
11,11_40,4779,57
11,11_42,27,58
11,11_40,7057,58
11,11_42,28,59
11,11_40,4847,59
11,11_42,29,60
11,11_40,4848,60
11,11_42,4680,61
11,11_40,449,61
11,11_42,31,62
11,11_42,32,63
11,11_42,33,64
11,11_42,7220,65
11,11_42,6122,66
111,111_7,7639,1
111,111_8,3057,1
111,111_9,3057,1
111,111_10,3057,1
111,111_7,7640,2
111,111_8,3058,2
111,111_9,3058,2
111,111_10,3058,2
111,111_7,5047,3
111,111_8,3059,3
111,111_9,3059,3
111,111_10,3059,3
111,111_7,3134,4
111,111_8,3060,4
111,111_9,3060,4
111,111_10,3060,4
111,111_7,3143,5
111,111_8,3061,5
111,111_9,3061,5
111,111_10,3061,5
111,111_7,3144,6
111,111_8,3062,6
111,111_9,3062,6
111,111_10,3062,6
111,111_7,3221,7
111,111_8,3063,7
111,111_9,3063,7
111,111_10,3063,7
111,111_7,3222,8
111,111_8,3064,8
111,111_9,3064,8
111,111_10,3064,8
111,111_7,3223,9
111,111_8,3065,9
111,111_9,3065,9
111,111_10,3065,9
111,111_7,3224,10
111,111_8,3066,10
111,111_9,3066,10
111,111_10,3066,10
111,111_7,3225,11
111,111_8,3067,11
111,111_9,3067,11
111,111_10,3067,11
111,111_7,3226,12
111,111_8,3068,12
111,111_9,3068,12
111,111_10,3068,12
111,111_7,3227,13
111,111_8,3069,13
111,111_9,3069,13
111,111_10,3069,13
111,111_7,3228,14
111,111_8,3070,14
111,111_9,3070,14
111,111_10,3070,14
111,111_7,3229,15
111,111_8,4983,15
111,111_9,4983,15
111,111_10,4983,15
111,111_7,7472,16
111,111_9,7648,16
111,111_7,3230,17
111,111_8,2042,17
111,111_9,2042,17
111,111_7,3232,18
111,111_8,2043,18
111,111_9,2043,18
111,111_7,3233,19
111,111_8,2044,19
111,111_9,2044,19
111,111_7,3234,20
111,111_8,2045,20
111,111_9,2045,20
111,111_7,4462,21
111,111_8,2046,21
111,111_9,2046,21
111,111_7,3235,22
111,111_8,7553,22
111,111_9,7553,22
111,111_7,3236,23
111,111_8,6082,23
111,111_9,6082,23
111,111_7,3237,24
111,111_8,3205,24
111,111_9,3205,24
111,111_7,6103,25
111,111_8,3206,25
111,111_9,3206,25
111,111_7,7554,26
111,111_8,3207,26
111,111_9,3207,26
111,111_7,2031,27
111,111_8,3208,27
111,111_9,3208,27
111,111_7,2032,28
111,111_8,3209,28
111,111_9,3209,28
111,111_7,2033,29
111,111_8,3210,29
111,111_9,3210,29
111,111_7,2034,30
111,111_8,4981,30
111,111_9,4981,30
111,111_7,2035,31
111,111_8,3211,31
111,111_9,3211,31
111,111_7,2036,32
111,111_8,3212,32
111,111_9,3212,32
111,111_7,2039,33
111,111_8,3213,33
111,111_9,3213,33
111,111_7,2037,34
111,111_8,3214,34
111,111_9,3214,34
111,111_7,3046,35
111,111_8,3215,35
111,111_9,3215,35
111,111_7,3047,36
111,111_8,3216,36
111,111_9,3216,36
111,111_7,3048,37
111,111_8,3217,37
111,111_9,3217,37
111,111_7,3049,38
111,111_8,3218,38
111,111_9,3218,38
111,111_7,3050,39
111,111_8,3219,39
111,111_9,3219,39
111,111_7,3051,40
111,111_8,3220,40
111,111_9,3220,40
111,111_7,3052,41
111,111_8,3221,41
111,111_9,3221,41
111,111_7,3053,42
111,111_8,3222,42
111,111_9,3222,42
111,111_7,3054,43
111,111_8,3223,43
111,111_9,3223,43
111,111_7,3055,44
111,111_8,3134,44
111,111_9,3134,44
111,111_7,3056,45
111,111_8,3143,45
111,111_9,3143,45
111,111_7,3057,46
111,111_8,3144,46
111,111_9,3144,46
111,111_8,5046,47
111,111_9,5046,47
111,111_8,7639,48
111,111_9,7639,48
114,114_5,6200,1
114,114_6,3085,1
114,114_5,6201,2
114,114_6,3082,2
114,114_5,6196,3
114,114_6,3165,3
114,114_5,3532,4
114,114_6,3166,4
114,114_5,3533,5
114,114_6,3167,5
114,114_5,3491,6
114,114_6,3168,6
114,114_5,6007,7
114,114_6,3169,7
114,114_5,4349,8
114,114_6,3171,8
114,114_5,3184,9
114,114_6,3173,9
114,114_5,449,10
114,114_6,3174,10
114,114_5,450,11
114,114_6,3175,11
114,114_5,3181,12
114,114_6,3176,12
114,114_5,5142,13
114,114_6,3177,13
114,114_5,3187,14
114,114_6,3178,14
114,114_5,3188,15
114,114_6,3179,15
114,114_5,3189,16
114,114_6,4984,16
114,114_5,3190,17
114,114_6,448,17
114,114_5,3191,18
114,114_6,4457,18
114,114_5,3192,19
114,114_6,3182,19
114,114_5,3193,20
114,114_6,3183,20
114,114_5,3194,21
114,114_6,4350,21
114,114_5,3195,22
114,114_6,5143,22
114,114_5,3196,23
114,114_6,2833,23
114,114_5,3198,24
114,114_6,6006,24
114,114_5,3199,25
114,114_6,3493,25
114,114_5,3200,26
114,114_6,3494,26
114,114_5,3201,27
114,114_6,6197,27
114,114_5,3085,28
114,114_6,6198,28
114,114_6,6199,29
116,116_3,2955,1
116,116_1,848,1
116,116_3,7067,2
116,116_1,2795,2
116,116_3,2956,3
116,116_1,756,3
116,116_3,2965,4
116,116_1,757,4
116,116_3,2967,5
116,116_1,758,5
116,116_3,2968,6
116,116_1,759,6
116,116_3,2969,7
116,116_1,760,7
116,116_3,2970,8
116,116_1,761,8
116,116_3,4988,9
116,116_1,762,9
116,116_3,2853,10
116,116_1,763,10
116,116_3,2854,11
116,116_1,2007,11
116,116_3,2855,12
116,116_1,2008,12
116,116_3,2856,13
116,116_1,2009,13
116,116_3,2857,14
116,116_1,2010,14
116,116_3,2858,15
116,116_1,435,15
116,116_3,2859,16
116,116_1,2011,16
116,116_3,2860,17
116,116_1,2012,17
116,116_3,2861,18
116,116_1,3322,18
116,116_3,2829,19
116,116_1,3563,19
116,116_3,2830,20
116,116_1,444,20
116,116_3,2831,21
116,116_1,445,21
116,116_3,2832,22
116,116_1,4779,22
116,116_3,4349,23
116,116_1,7057,23
116,116_3,3184,24
116,116_3,449,25
116,116_3,450,26
116,116_3,3181,27
116,116_3,451,28
116,116_3,447,29
116,116_1,4350,29
116,116_3,5045,30
116,116_1,5143,30
116,116_3,4460,31
116,116_1,2837,31
116,116_3,453,32
116,116_1,2838,32
116,116_3,4477,33
116,116_1,2839,33
116,116_3,3321,34
116,116_1,2840,34
116,116_3,4727,35
116,116_1,2845,35
116,116_3,4728,36
116,116_1,2846,36
116,116_3,461,37
116,116_1,2847,37
116,116_3,2068,38
116,116_1,4397,38
116,116_3,2069,39
116,116_3,2070,40
116,116_3,2084,41
116,116_1,2850,41
116,116_3,768,42
116,116_1,2851,42
116,116_3,769,43
116,116_1,2852,43
116,116_3,770,44
116,116_1,4987,44
116,116_3,771,45
116,116_1,2978,45
116,116_3,772,46
116,116_1,2979,46
116,116_3,773,47
116,116_1,2980,47
116,116_3,774,48
116,116_1,2981,48
116,116_3,775,49
116,116_1,2954,49
116,116_3,776,50
116,116_1,2955,50
116,116_3,777,51
116,116_3,906,52
116,116_3,907,53
116,116_3,908,54
116,116_3,909,55
116,116_3,786,56
116,116_3,792,57
116,116_3,7586,59
116,116_3,7587,60
116,116_3,345,61
116,116_3,320,62
116,116_3,281,63
116,116_3,261,64
118,118_3,3283,1
118,118_3,3284,2
118,118_3,3481,3
118,118_3,3482,4
118,118_3,3483,5
118,118_3,3484,6
118,118_3,3485,7
118,118_3,3486,8
118,118_3,3487,9
118,118_3,7415,10
118,118_3,7416,11
118,118_3,3317,12
118,118_3,3318,13
118,118_3,3320,14
118,118_3,2064,15
118,118_3,2065,16
118,118_3,4727,17
118,118_3,4728,18
118,118_3,461,19
118,118_3,2068,20
118,118_3,2069,21
118,118_3,2070,22
118,118_3,2084,23
118,118_3,768,24
118,118_3,769,25
118,118_3,770,26
118,118_3,771,27
118,118_3,772,28
118,118_3,773,29
118,118_3,774,30
118,118_3,775,31
118,118_3,776,32
118,118_3,777,33
118,118_3,906,34
118,118_3,907,35
118,118_3,908,36
118,118_3,909,37
118,118_3,786,38
118,118_3,792,39
118,118_3,7586,41
118,118_3,7587,42
118,118_3,345,43
118,118_3,334,44
120,120_7,6004,1
120,120_9,284,1
120,120_10,284,1
120,120_8,485,1
120,120_7,3,2
120,120_9,4504,2
120,120_10,4504,2
120,120_8,487,2
120,120_9,7028,3
120,120_7,192,3
120,120_10,7028,3
120,120_8,488,3
120,120_7,795,4
120,120_9,5147,4
120,120_10,5147,4
120,120_8,489,4
120,120_7,796,5
120,120_9,68,5
120,120_10,68,5
120,120_8,490,5
120,120_7,56,6
120,120_9,30,6
120,120_10,30,6
120,120_8,491,6
120,120_7,58,7
120,120_9,69,7
120,120_10,69,7
120,120_8,492,7
120,120_7,4499,8
120,120_9,828,8
120,120_10,828,8
120,120_8,493,8
120,120_7,4934,9
120,120_9,829,9
120,120_10,829,9
120,120_8,494,9
120,120_7,4500,10
120,120_9,830,10
120,120_10,830,10
120,120_8,495,10
120,120_7,4481,11
120,120_9,831,11
120,120_10,831,11
120,120_8,400,11
120,120_9,75,12
120,120_7,4485,12
120,120_10,75,12
120,120_8,279,12
120,120_7,822,13
120,120_9,4501,13
120,120_10,4501,13
120,120_8,3,13
120,120_7,823,14
120,120_9,4935,14
120,120_10,4935,14
120,120_8,192,14
120,120_7,824,15
120,120_9,4502,15
120,120_10,4502,15
120,120_8,795,15
120,120_7,825,16
120,120_9,4936,16
120,120_10,4936,16
120,120_8,796,16
120,120_7,826,17
120,120_9,79,17
120,120_10,79,17
120,120_8,56,17
120,120_7,827,18
120,120_9,80,18
120,120_10,80,18
120,120_8,58,18
120,120_7,71,19
120,120_9,82,19
120,120_10,82,19
120,120_8,4499,19
120,120_7,72,20
120,120_9,817,20
120,120_10,817,20
120,120_8,4934,20
120,120_7,5144,21
120,120_9,818,21
120,120_10,818,21
120,120_8,4500,21
120,120_7,7027,22
120,120_9,819,22
120,120_10,819,22
120,120_8,4481,22
120,120_7,4538,23
120,120_9,263,23
120,120_10,263,23
120,120_8,4485,23
120,120_7,7396,24
120,120_9,6071,24
120,120_10,4725,24
120,120_8,822,24
120,120_7,5145,25
120,120_10,273,25
120,120_8,823,25
120,120_7,276,26
120,120_10,405,26
120,120_8,824,26
120,120_10,408,27
120,120_8,825,27
120,120_10,409,28
120,120_8,826,28
120,120_10,410,29
120,120_8,827,29
120,120_10,411,30
120,120_8,71,30
120,120_10,412,31
120,120_8,72,31
120,120_10,413,32
120,120_8,5144,32
120,120_10,414,33
120,120_8,7027,33
120,120_10,415,34
120,120_8,4538,34
120,120_8,7396,35
120,120_8,5145,36
120,120_8,276,37
122,122_16,1423,1
122,122_14,4525,1
122,122_17,1423,1
122,122_15,4525,1
122,122_16,1424,2
122,122_14,4526,2
122,122_17,1424,2
122,122_15,4526,2
122,122_16,1425,3
122,122_14,1700,3
122,122_17,1425,3
122,122_15,1700,3
122,122_16,1426,4
122,122_14,1701,4
122,122_17,1426,4
122,122_15,1701,4
122,122_16,1427,5
122,122_14,1702,5
122,122_17,1427,5
122,122_15,1702,5
122,122_16,1428,6
122,122_14,16,6
122,122_17,1428,6
122,122_15,16,6
122,122_16,1429,7
122,122_14,73,7
122,122_17,1429,7
122,122_15,73,7
122,122_16,1430,8
122,122_14,74,8
122,122_17,1430,8
122,122_15,74,8
122,122_16,1432,9
122,122_14,4371,9
122,122_17,1432,9
122,122_15,4371,9
122,122_16,1433,10
122,122_14,832,10
122,122_17,1433,10
122,122_15,832,10
122,122_16,1434,11
122,122_14,833,11
122,122_17,1434,11
122,122_15,833,11
122,122_16,1435,12
122,122_14,77,12
122,122_17,1435,12
122,122_15,77,12
122,122_16,7439,13
122,122_14,78,13
122,122_17,7439,13
122,122_15,78,13
122,122_16,7454,14
122,122_14,79,14
122,122_17,7454,14
122,122_15,79,14
122,122_16,1380,15
122,122_14,80,15
122,122_17,1380,15
122,122_15,80,15
122,122_16,1381,16
122,122_14,82,16
122,122_17,1381,16
122,122_15,82,16
122,122_16,1382,17
122,122_14,83,17
122,122_17,1382,17
122,122_15,83,17
122,122_16,1383,18
122,122_14,84,18
122,122_17,1383,18
122,122_15,84,18
122,122_16,1384,19
122,122_14,51,19
122,122_17,1384,19
122,122_15,51,19
122,122_16,1385,20
122,122_14,52,20
122,122_17,1385,20
122,122_15,52,20
122,122_16,1348,21
122,122_14,263,21
122,122_17,1348,21
122,122_15,263,21
122,122_16,1349,22
122,122_14,271,22
122,122_17,1349,22
122,122_16,1350,23
122,122_14,1278,23
122,122_17,1350,23
122,122_16,1352,24
122,122_14,1282,24
122,122_17,1352,24
122,122_16,1353,25
122,122_14,4456,25
122,122_17,1353,25
122,122_16,7589,26
122,122_14,1284,26
122,122_17,7589,26
122,122_16,1355,27
122,122_14,1285,27
122,122_17,1355,27
122,122_16,1357,28
122,122_14,1286,28
122,122_17,1357,28
122,122_16,1359,29
122,122_14,1288,29
122,122_17,1359,29
122,122_16,279,30
122,122_14,1289,30
122,122_17,279,30
122,122_16,3,31
122,122_14,1360,31
122,122_16,12,32
122,122_14,1362,32
122,122_16,14,33
122,122_14,1363,33
122,122_16,53,34
122,122_14,1364,34
122,122_16,54,35
122,122_14,1365,35
122,122_16,55,36
122,122_14,1366,36
122,122_16,56,37
122,122_14,1367,37
122,122_16,58,38
122,122_14,7455,38
122,122_16,59,39
122,122_14,7438,39
122,122_16,60,40
122,122_14,1410,40
122,122_16,820,41
122,122_14,1411,41
122,122_16,821,42
122,122_14,1412,42
122,122_16,63,43
122,122_14,1413,43
122,122_16,64,44
122,122_14,1414,44
122,122_16,65,45
122,122_14,1415,45
122,122_16,66,46
122,122_14,1417,46
122,122_16,4498,47
122,122_14,1418,47
122,122_16,1660,48
122,122_14,5149,48
122,122_16,1661,49
122,122_14,1419,49
122,122_16,4523,50
122,122_14,6094,50
122,122_16,4524,51
122,122_16,4322,52
123,123_34,6057,1
123,123_36,1491,1
123,123_37,1491,1
123,123_35,6057,1
123,123_34,2183,2
123,123_36,1492,2
123,123_37,1492,2
123,123_35,2183,2
123,123_34,2184,3
123,123_36,1493,3
123,123_37,1493,3
123,123_35,2184,3
123,123_34,2185,4
123,123_36,1482,4
123,123_37,1482,4
123,123_35,2185,4
123,123_34,1423,5
123,123_36,1494,5
123,123_37,1494,5
123,123_35,1423,5
123,123_34,1424,6
123,123_36,1495,6
123,123_37,1495,6
123,123_35,1424,6
123,123_34,1425,7
123,123_36,1496,7
123,123_37,1496,7
123,123_35,1425,7
123,123_34,1426,8
123,123_36,1515,8
123,123_37,1515,8
123,123_35,1426,8
123,123_34,1463,9
123,123_36,1499,9
123,123_37,1499,9
123,123_35,1463,9
123,123_34,4399,10
123,123_36,1485,10
123,123_37,1485,10
123,123_35,4399,10
123,123_34,4400,11
123,123_36,4518,11
123,123_37,4518,11
123,123_35,4400,11
123,123_34,1464,12
123,123_36,509,12
123,123_37,509,12
123,123_35,1464,12
123,123_34,1469,13
123,123_36,510,13
123,123_37,510,13
123,123_35,1469,13
123,123_34,1465,14
123,123_36,511,14
123,123_37,511,14
123,123_35,1465,14
123,123_34,1466,15
123,123_36,513,15
123,123_37,513,15
123,123_35,1466,15
123,123_34,1467,16
123,123_36,4513,16
123,123_37,4513,16
123,123_35,1467,16
123,123_34,1468,17
123,123_36,272,17
123,123_35,1468,17
123,123_34,1377,18
123,123_36,335,18
123,123_35,1377,18
123,123_34,1378,19
123,123_36,1278,19
123,123_35,1378,19
123,123_34,4514,20
123,123_36,1934,20
123,123_35,4514,20
123,123_34,4515,21
123,123_36,1935,21
123,123_35,4515,21
123,123_34,1995,22
123,123_36,1937,22
123,123_35,1995,22
123,123_34,1996,23
123,123_36,1938,23
123,123_35,1996,23
123,123_34,1997,24
123,123_36,1939,24
123,123_35,1997,24
123,123_34,1998,25
123,123_36,1940,25
123,123_35,1998,25
123,123_34,1999,26
123,123_36,1941,26
123,123_35,2001,26
123,123_34,2001,27
123,123_36,4516,27
123,123_35,2002,27
123,123_34,2002,28
123,123_36,1369,28
123,123_35,1359,28
123,123_34,1359,29
123,123_36,1370,29
123,123_35,274,29
123,123_34,274,30
123,123_36,1371,30
123,123_34,7164,31
123,123_36,1454,31
123,123_34,1505,32
123,123_36,1455,32
123,123_34,4509,33
123,123_36,1453,33
123,123_34,499,34
123,123_36,1456,34
123,123_34,500,35
123,123_36,1457,35
123,123_34,501,36
123,123_36,1458,36
123,123_34,1484,37
123,123_36,1459,37
123,123_34,1481,38
123,123_36,1460,38
123,123_34,7320,39
123,123_36,1462,39
123,123_34,1486,40
123,123_36,5149,40
123,123_34,1487,41
123,123_36,1419,41
123,123_34,1488,42
123,123_36,6094,42
123,123_34,1489,43
123,123_36,2102,43
123,123_34,1490,44
123,123_36,2103,44
123,123_36,7154,45
